License Number,Business Name,DBA/Trade Name,business_id,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,license_city,license_state,license_zip,complaint_id,created_date,closed_date,complaint_type,descriptor,incident_address,incident_zip,complaint_address_type,status,resolution_description,complaint_count,eviction_count
1094549-DCA,"535 PHASE CONSTRUCTION, INC.",,BA-1115990-2022,Home Improvement Contractor,Premises,Active,09/23/2010,02/28/2027,NEW YORK,NY,10032,,,,,,,,,,,0,4
2101864-DCA,ARS CONSTRUCTION NY LLC,,BA-1115993-2022,Home Improvement Contractor,Premises,Expired,09/29/2021,02/28/2023,BROOKLYN,NY,11219,,,,,,,,,,,0,1
2065112-DCA,ALPHA CAR WASH LLC,Alpha Car Wash LLC,BA-1116144-2022,Car Wash,Premises,Expired,01/19/2018,10/31/2023,NEW YORK,NY,10036,64360725,2025-03-15T03:35:25.000,2025-03-15T07:22:55.000,Blocked Driveway,No Access,625 11 AVENUE,10036,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,4,0
1387896-DCA,3480 THIRD AVENUE PARKING INC.,,BA-1116442-2022,Garage & Parking Lot,Premises,Active,03/21/2013,03/31/2027,BRONX,NY,10456,64211478,2025-02-27T12:21:03.000,2025-04-07T08:46:22.000,PAINT/PLASTER,WALL,3480 3 AVENUE,10456,ADDRESS,Closed,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,16,0
2051014-DCA,AP SCHERMERHORN MANAGEMENT LLC,,BA-1116982-2022,Garage & Parking Lot,Premises,Active,04/11/2017,03/31/2027,BROOKLYN,NY,11201,64199043,2025-02-26T10:31:54.000,2025-02-26T12:27:57.000,Illegal Parking,Parking Permit Improper Use,200 SCHERMERHORN STREET,11201,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9,0
2036478-1-DCA,"BRIAN YOUNG, INC.",,BA-1117005-2022,Tobacco Retail Dealer,Premises,Active,04/21/2016,12/31/2025,BROOKLYN,NY,11211,64395886,2025-03-18T08:22:30.000,2025-03-18T09:12:24.000,Non-Emergency Police Matter,Trespassing,552 DRIGGS AVENUE,11211,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3,0
2060297-2-DCA,"7-ELEVEN, INC.",7 Eleven Store #38310H,BA-1117148-2022,Tobacco Retail Dealer,Premises,Active,11/03/2017,12/31/2026,NEW YORK,NY,10006,64187520,2025-02-25T21:26:00.000,2025-02-26T20:00:00.000,Noise,Noise: Construction Equipment (NC1),88 GREENWICH STREET,10006,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",4,1
2035728-1-DCA,42 BROADWAY NEWS LLC,GLOBAL NEWSSTAND,BA-1117209-2022,Tobacco Retail Dealer,Premises,Active,04/08/2016,12/31/2025,NEW YORK,NY,10004,64202935,2025-02-26T07:56:44.000,2025-02-26T07:58:23.000,Vendor Enforcement,Non-Food Vendor,42 BROADWAY,10004,ADDRESS,Closed,,50,0
2089674-2-DCA,ALAZI GROCERY & CANDY CORP,,BA-1117407-2022,Tobacco Retail Dealer,Premises,Expired,08/16/2019,12/31/2022,BRONX,NY,10468,64223752,2025-03-01T03:28:18.000,2025-03-01T06:19:06.000,Noise - Residential,Banging/Pounding,2690 UNIVERSITY AVENUE,10468,ADDRESS,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,20,1
2022542-DCA,ATLANTIC DESIGN & APPLIANCES CORP,ATLANTIC DESIGN & APPLIANCES,BA-1117468-2022,Secondhand Dealer - General,Premises,Ready for Renewal,05/11/2015,07/31/2025,BROOKLYN,NY,11225,64194868,2025-02-26T10:59:00.000,2025-02-28T17:00:00.000,Noise,Noise: Construction Equipment (NC1),1087 CARROLL STREET,11225,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",5,0
2109297-DCA,Alexis Property Management and Delivery Services LLC,,BA-1117521-2022,Home Improvement Contractor,Premises,Active,10/12/2022,02/28/2027,BROOKLYN,NY,11203,,,,,,,,,,,0,1
1010041-DCA,130 EAST 18TH GARAGE CORP.,,BA-1117528-2022,Garage & Parking Lot,Premises,Active,05/21/1999,03/31/2027,NEW YORK,NY,10003,64345172,2025-03-13T17:18:30.000,2025-03-13T18:16:50.000,Noise - Residential,Banging/Pounding,130 EAST   18 STREET,11226,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,9,0
1438349-DCA,186 GROCERY CORP.,,BA-1117637-2022,Tobacco Retail Dealer,Premises,Suspended,07/21/2012,12/31/2025,NEW YORK,NY,10033,64363783,2025-03-15T15:55:11.000,2025-04-03T11:46:38.000,PAINT/PLASTER,WALL,547 WEST  186 STREET,10033,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,5,0
1366871-DCA,1510 LEX GARAGE CORP,,BA-1117647-2022,Garage & Parking Lot,Premises,Active,08/17/2010,03/31/2027,NEW YORK,NY,10029,,,,,,,,,,,0,1
1158951-DCA,224 WEST 18TH STREET FURNISHING CORPORATION,,BA-1117693-2022,Secondhand Dealer - General,Premises,Ready for Renewal,12/21/2007,07/31/2025,NEW YORK,NY,10011,64220499,2025-02-28T08:29:15.000,2025-02-28T09:26:59.000,Noise - Commercial,Banging/Pounding,27 WEST   20 STREET,10011,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,15,0
2096892-DCA,Amtel NY LLC,T-Mobile,BA-1117701-2022,Electronics Store,Premises,Active,11/10/2020,12/31/2026,BROOKLYN,NY,11221,64194274,2025-02-26T16:09:25.000,,Graffiti,Graffiti,1367 BROADWAY,11221,ADDRESS,Open,The graffiti on this property has been scheduled to be removed by the City.,6,0
2029330-2-DCA,323 GUN HILL DELI & GROCERY CORP,,BA-1117778-2022,Tobacco Retail Dealer,Premises,Active,10/08/2015,12/31/2026,BRONX,NY,10467,64186892,2025-02-25T18:49:58.000,2025-02-26T00:28:45.000,Noise - Residential,Loud Music/Party,323 EAST GUN HILL ROAD,10467,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,121,0
2009939-DCA,ALANIS DELI GROCERY CORP.,,BA-1117872-2022,Stoop Line Stand,Premises,Expired,06/24/2014,03/31/2024,BRONX,NY,10468,64484984,2025-03-27T10:52:46.000,,UNSANITARY CONDITION,PESTS,2565 GRAND CONCOURSE,10468,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,6,7
1252022-DCA,"AZEEM,MOHAMMAD",COUNTY WATERPROOFING & RESTORATION,BA-1117941-2022,Home Improvement Contractor,Premises,Active,04/13/2007,02/28/2027,BRONX,NY,10467,,,,,,,,,,,0,1
2089169-DCA,95 WORTH GARAGE LLC,,BA-1117947-2022,Garage & Parking Lot,Premises,Active,08/06/2019,03/31/2027,NEW YORK,NY,10013,64440207,2025-03-23T14:14:17.000,,UNSANITARY CONDITION,MOLD,336 BROADWAY,10013,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,4,0
2094017-DCA,BLUEMAKE ENTERPRISE CORP,,BA-1117964-2022,Home Improvement Contractor,Premises,Expired,01/29/2020,02/28/2023,BRONX,NY,10456,64433250,2025-03-22T14:20:03.000,2025-03-24T21:19:13.000,HEAT/HOT WATER,APARTMENT ONLY,3250 3 AVENUE,10456,ADDRESS,Closed,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,6,0
1166080-DCA,167 PAWNBROKER INC.,,BA-1117981-2022,Pawnbroker,Premises,Active,05/03/2004,04/30/2026,BRONX,NY,10456,,,,,,,,,,,0,1
1187112-DCA,59 AND 5TH PARKING LLC,,BA-1118001-2022,Garage & Parking Lot,Premises,Voided,05/11/2006,03/31/2025,NEW YORK,NY,10153,64195725,2025-02-26T10:35:03.000,,Mobile Food Vendor,Equipment,767 5 AVENUE,10153,ADDRESS,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation. Inspection results are not published.,35,0
2096428-DCA,200 Dyckman Wireless Inc,,BA-1118060-2022,Electronics Store,Premises,Active,09/17/2020,12/31/2026,NEW YORK,NY,10040,64203065,2025-02-26T19:43:56.000,2025-02-27T17:29:51.000,Noise - Residential,Loud Music/Party,200 DYCKMAN STREET,10040,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,7,3
1453010-DCA,2636 UNI AVE INC.,,BA-1118404-2022,Electronics Store,Premises,Active,12/31/2012,12/31/2026,BRONX,NY,10468,64236394,2025-03-02T09:54:12.000,2025-03-03T11:54:34.000,HEAT/HOT WATER,ENTIRE BUILDING,2636 UNIVERSITY AVENUE,10468,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2,1
2109516-DCA,BLUDHAVEN ENTERPRISES INC,,BA-1118438-2022,Garage & Parking Lot,Premises,Active,10/25/2022,03/31/2027,BRONX,NY,10454,64211514,2025-02-27T12:25:23.000,2025-03-12T21:25:34.000,PLUMBING,BATHTUB/SHOWER,331 EAST  132 STREET,10454,ADDRESS,Closed,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",57,0
2098397-DCA,ARYA CONSTRUCTION INC,,BA-1118460-2022,Home Improvement Contractor,Premises,Expired,04/19/2021,02/28/2023,BROOKLYN,NY,11214,,,,,,,,,,,0,1
2069653-DCA,AURORA NY CONSTRUCTION INC.,,BA-1118569-2022,Home Improvement Contractor,Premises,Active,04/17/2018,02/28/2027,BROOKLYN,NY,11218,64629822,2025-04-12T12:08:47.000,2025-04-14T13:02:09.000,Residential Disposal Complaint,Waste Not Separated,70 DAHILL ROAD,11218,ADDRESS,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,1,1
2102946-2-DCA,2970 OCEAN AVENUE DELI & BAGEL INC,,BA-1118638-2022,Electronic Cigarette Dealer,Premises,Surrendered,12/03/2021,11/30/2024,BROOKLYN,NY,11235,64191150,2025-02-25T13:06:56.000,2025-02-26T22:32:13.000,HEAT/HOT WATER,ENTIRE BUILDING,2970 OCEAN AVENUE,11235,ADDRESS,Closed,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",81,2
2072323-1-DCA,26 TOBACCO SHOP CORP,,BA-1118639-2022,Electronic Cigarette Dealer,Premises,Active,05/31/2018,11/30/2025,NEW YORK,NY,10009,64305705,2025-03-09T22:27:38.000,2025-03-09T23:07:28.000,Noise - Street/Sidewalk,Loud Music/Party,26 AVENUE C,10009,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,19,0
2097179-DCA,AURORA GENERAL CONSTRUCTION LLC,,BA-1118787-2022,Home Improvement Contractor,Premises,Active,12/10/2020,02/28/2027,BROOKLYN,NY,11238,64221668,2025-02-28T07:40:32.000,2025-02-28T08:39:23.000,Illegal Parking,Blocked Hydrant,594 DEAN STREET,11238,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,7,0
2105738-DCA,BRIGHT MANAGEMENT SOLUTIONS LLC,LINDEN PARKING,BA-1119000-2022,Garage & Parking Lot,Premises,Active,05/03/2022,03/31/2027,BROOKLYN,NY,11226,64241134,2025-03-03T09:07:00.000,2025-03-05T12:27:00.000,Derelict Vehicles,Derelict Vehicles,123 LINDEN BOULEVARD,11226,ADDRESS,Closed,The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. The owner then claimed the vehicle. DSNY closed your Service Request. No further action will be taken.,11,20
2109070-1-DCA,BROADWAY MINI MARKET CORP,,BA-1119124-2022,Tobacco Retail Dealer,Premises,Suspended,09/27/2022,12/31/2025,NEW YORK,NY,10034,64359322,2025-03-14T18:24:56.000,,DOOR/WINDOW,WINDOW FRAME,5008 BROADWAY,10034,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,1,1
2073627-1-DCA,"BEVERAGES AND BEYOND DISTRIBUTERS, LLC",,BA-1119351-2022,Electronic Cigarette Dealer,Premises,Surrendered,06/18/2018,11/30/2023,NEW YORK,NY,10036,64229801,2025-03-01T02:04:04.000,2025-03-01T03:36:11.000,Illegal Parking,Blocked Sidewalk,621 WEST   46 STREET,10036,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5,0
2098491-DCA,1700 Broadway Garage LLC,,BA-1119452-2022,Garage & Parking Lot,Premises,Active,04/29/2021,03/31/2027,NEW YORK,NY,10019,64259143,2025-03-04T16:32:08.000,,Food Establishment,Facility Construction,1700 BROADWAY,10019,ADDRESS,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",10,0
2010316-DCA,333 RECTOR GARAGE LLC,,BA-1119605-2022,Garage & Parking Lot,Premises,Active,07/03/2014,03/31/2027,NEW YORK,NY,10280,64212169,2025-02-27T09:02:00.000,2025-03-03T13:15:00.000,Noise,Noise: Jack Hammering (NC2),333 RECTOR PLACE,10280,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",4,0
2073332-1-DCA,"AHMED, SYED ASAD & AHMAD, SALMA",ELEVEN STORE #35516A,BA-1119658-2022,Electronic Cigarette Dealer,Premises,Active,06/13/2018,11/30/2025,NEW YORK,NY,10036,64194385,2025-02-26T09:05:36.000,,Food Establishment,Pet/Animal,555 WEST   42 STREET,10036,ADDRESS,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",7,0
1266177-DCA,100 ML GARAGE CORP.,,BA-1119784-2022,Garage & Parking Lot,Premises,Active,03/24/2009,03/31/2027,NEW YORK,NY,10038,,,,,,,,,,,0,1
2066583-1-DCA,165TH & ANDERSON SUPERETTE INC,ANDERSON AVE CORNER STORE,BA-1119892-2022,Tobacco Retail Dealer,Premises,Active,02/23/2018,12/31/2025,BRONX,NY,10452,64554817,2025-04-04T19:02:02.000,2025-04-05T06:00:57.000,Noise - Residential,Banging/Pounding,64 WEST  165 STREET,10452,ADDRESS,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,7,0
2101620-DCA,BLUE BONNET RARITIES INC,BLUE RIBBON RARITIES,BA-1119992-2022,Secondhand Dealer - General,Premises,Ready for Renewal,09/21/2021,07/31/2025,NEW YORK,NY,10128,64279720,2025-03-06T20:57:28.000,2025-03-11T00:00:00.000,Emergency Response Team (ERT),After Hours Work - Illegal,410 EAST   92 STREET,10128,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,11,0
1379000-DCA,"BEST BUY STORES, L.P.",,BA-1120137-2022,Secondhand Dealer - General,Premises,Ready for Renewal,12/14/2010,07/31/2025,NEW YORK,NY,10003,64211866,2025-02-27T12:04:37.000,2025-02-27T13:53:24.000,Blocked Driveway,No Access,52 EAST   14 STREET,10003,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,4,0
2079823-DCA,ACTIVE CONSTRUCTION NY INC,,BA-1120313-2022,Home Improvement Contractor,Premises,Expired,11/09/2018,02/28/2023,BROOKLYN,NY,11219,,,,,,,,,,,0,1
1225351-DCA,"BOGEN, INC.",,BA-1120404-2022,Home Improvement Contractor,Premises,Active,05/02/2006,02/28/2027,NEW YORK,NY,10010,64348566,2025-03-13T11:30:17.000,2025-03-14T14:35:10.000,Illegal Dumping,Removal Request,902 BROADWAY,10010,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,4,1
2108699-DCA,ARCH TELECOM INC,,BA-1120416-2022,Electronics Store,Premises,Expired,09/08/2022,12/31/2024,BRONX,NY,10471,64479340,2025-03-27T22:50:01.000,2025-04-10T13:44:38.000,Consumer Complaint,E-Cigarette Sales,5670 RIVERDALE AVENUE,10471,ADDRESS,Closed,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division inspected the business.  To get inspection results, visit nyc.gov/dcwp. If you have any questions, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",1,1
2022305-2-DCA,ANDREA'S DELI GROCERY CORP.,,BA-1120489-2022,Tobacco Retail Dealer,Premises,Expired,05/06/2015,12/31/2022,BRONX,NY,10459,,,,,,,,,,,0,1
2104500-DCA,ARSADA GROUP LTD,,BA-1120633-2022,Car Wash,Premises,Expired,03/16/2022,10/31/2023,BROOKLYN,NY,11235,,,,,,,,,,,0,1
2047136-DCA,"AT&T MOBILITY SUPPLY, LLC",AT&T MOBILITY,BA-1120696-2022,Electronics Store,Premises,Active,01/06/2017,12/31/2026,STATEN ISLAND,NY,10314,,,,,,,,,,,0,3
1463779-DCA,"ADAME, FELICIANO",,BA-1120698-2022,Home Improvement Contractor,Premises,Expired,05/01/2013,02/28/2023,NEW YORK,NY,10024,64229910,2025-03-01T22:19:55.000,2025-03-01T23:44:30.000,Illegal Parking,Blocked Hydrant,66 WEST   91 STREET,10024,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3,0
2109480-DCA,ATHAR & CO CONSTRUCTION INC,,BA-1120801-2022,Home Improvement Contractor,Premises,Failed to Renew,10/24/2022,02/28/2025,BRONX,NY,10458,,,,,,,,,,,0,1
2010314-DCA,4 SQUARE MANAGEMENT LLC,,BA-1120817-2022,Garage & Parking Lot,Premises,Out of Business,07/03/2014,03/31/2025,BROOKLYN,NY,11249,64440568,2025-03-23T22:36:59.000,2025-03-24T02:54:54.000,Illegal Parking,Unauthorized Bus Layover,53 BROADWAY,11249,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2,3
1283912-DCA,ADT ENTERPRISES INC.,,BA-1120845-2022,Electronics Store,Premises,Active,05/01/2008,12/31/2026,NEW YORK,NY,10002,64701417,2025-04-19T22:52:47.000,,Graffiti,Graffiti,1 ELDRIDGE STREET,10002,ADDRESS,Open,The graffiti on this property has been scheduled to be removed by the City.,3,0
2087228-DCA,BKB RESTORATION INC,,BA-1120982-2022,Home Improvement Contractor,Premises,Failed to Renew,06/15/2019,02/28/2025,BROOKLYN,NY,11207,,,,,,,,,,,0,2
2095678-1-DCA,765 FARM INC,,BA-1121399-2022,Tobacco Retail Dealer,Premises,Active,04/20/2020,12/31/2025,NEW YORK,NY,10017,64339452,2025-03-12T20:10:50.000,2025-03-14T06:33:45.000,Litter Basket Request,New Basket,765 2 AVENUE,10017,ADDRESS,Closed,The Department of Sanitation removed the items.,4,0
2089530-DCA,30-40-60 GARAGE LLC,,BA-1121496-2022,Garage & Parking Lot,Premises,Active,08/14/2019,03/31/2027,NEW YORK,NY,10003,64319394,2025-03-11T08:21:01.000,2025-03-12T14:46:11.000,Missed Collection,Compost,30 EAST    9 STREET,10003,ADDRESS,Closed,The Department of Sanitation collected the requested items.,3,0
1071283-DCA,BRIAR HILL REALTY LLC,,BA-1121633-2022,Garage & Parking Lot,Premises,Active,01/24/2001,03/31/2027,BRONX,NY,10471,64189197,2025-02-25T20:31:41.000,2025-02-26T04:08:25.000,Noise - Residential,Loud Music/Party,600 WEST  246 STREET,10471,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9,0
2074836-1-DCA,BEDFORD 101 FOOD CORP,,BA-1121651-2022,Electronic Cigarette Dealer,Premises,Expired,06/29/2018,11/30/2023,BROOKLYN,NY,11211,64265361,2025-03-05T17:58:30.000,,FLOORING/STAIRS,FLOOR,101 BEDFORD AVENUE,11211,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,5,4
2095959-DCA,ALANI RESTORATION CONSTRUCTION L.L.C.,,BA-1121680-2022,Home Improvement Contractor,Premises,Active,07/15/2020,02/28/2027,BROOKLYN,NY,11216,64243790,2025-03-03T11:26:14.000,2025-03-03T21:32:11.000,Illegal Parking,Posted Parking Sign Violation,1080 BERGEN STREET,11216,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,13,0
1468186-DCA,121 CONVENIENCE DELI CORP.,,BA-1121698-2022,Tobacco Retail Dealer,Premises,Expired,06/26/2013,12/31/2022,NEW YORK,NY,10026,64212707,2025-02-27T09:17:35.000,2025-03-01T17:22:34.000,PAINT/PLASTER,CEILING,121 WEST  116 STREET,10026,ADDRESS,Closed,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",3,0
2105592-DCA,786 PARKING 1 CORP,,BA-1121822-2022,Garage & Parking Lot,Premises,Expired,04/27/2022,01/31/2023,BRONX,NY,10451,64211694,2025-02-27T14:18:16.000,2025-02-28T05:12:48.000,Noise - Residential,Loud Talking,250 EAST  144 STREET,10451,ADDRESS,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,7,0
1300905-DCA,5401 GOURMET DELI GROCERY CORP.,,BA-1121854-2022,Tobacco Retail Dealer,Premises,Revoked,10/01/2008,12/31/2023,BROOKLYN,NY,11203,,,,,,,,,,,0,2
2114558-DCA,ALPHA MEDICAL EQUIPMENT INC,,BA-1122129-2022,Electronic & Home Appliance Service Dealer,Premises,Active,06/21/2023,06/30/2026,BROOKLYN,NY,11235,64234388,2025-03-02T00:24:24.000,2025-03-06T09:36:21.000,UNSANITARY CONDITION,PESTS,1230 AVENUE Y,11235,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,16,1
1323224-DCA,BAMCO CONSTRUCTION CORP,,BA-1122157-2022,Home Improvement Contractor,Premises,Active,06/24/2009,02/28/2027,BROOKLYN,NY,11208,64209408,2025-02-27T15:28:10.000,2025-02-27T19:45:47.000,Blocked Driveway,No Access,367 PINE STREET,11208,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,3,0
2032682-1-DCA,BEDFORD 101 FOOD CORP.,,BA-1122228-2022,Tobacco Retail Dealer,Premises,Active,01/25/2016,12/31/2025,BROOKLYN,NY,11211,64265361,2025-03-05T17:58:30.000,,FLOORING/STAIRS,FLOOR,101 BEDFORD AVENUE,11211,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,5,4
2110186-DCA,668 MP PARKING CORP,,BA-1122387-2022,Garage & Parking Lot,Premises,Failed to Renew,12/09/2022,03/31/2025,BROOKLYN,NY,11221,64189730,2025-02-25T20:01:10.000,2025-02-25T21:30:31.000,Non-Emergency Police Matter,Other (complaint details),668 BUSHWICK AVENUE,11221,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,9,0
2103012-DCA,B F V COMMUNICATIONS CORP,,BA-1122414-2022,Home Improvement Contractor,Premises,Active,12/08/2021,02/28/2027,BRONX,NY,10452,64666684,2025-04-16T12:48:34.000,2025-04-16T22:38:43.000,Illegal Parking,Double Parked Blocking Vehicle,1565 GRAND CONCOURSE,10452,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5,9
1413841-DCA,"47 PITT GROCERY, INC.",,BA-1122493-2022,Stoop Line Stand,Premises,Expired,11/16/2011,03/31/2024,NEW YORK,NY,10002,64206125,2025-02-27T15:00:06.000,2025-02-27T15:37:47.000,Noise - Street/Sidewalk,Loud Music/Party,47 PITT STREET,10002,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4,0
1010035-DCA,5TH AVENUE GARAGE CORP.,,BA-1122509-2022,Garage & Parking Lot,Premises,Active,05/20/1999,03/31/2027,NEW YORK,NY,10011,64393689,2025-03-18T18:51:03.000,2025-03-28T10:13:09.000,Street Condition,Line/Marking - After Repaving,96 5 AVENUE,10011,ADDRESS,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",5,0
2101567-DCA,ARTI REMODELING INC,,BA-1122513-2022,Home Improvement Contractor,Premises,Expired,09/16/2021,02/28/2023,BROOKLYN,NY,11225,64271835,2025-03-06T08:12:06.000,2025-03-06T22:58:12.000,Dirty Condition,Trash,1030 CARROLL STREET,11225,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2,1
2066783-1-DCA,674 NEIGHBORHOOD GROCERY CORP,,BA-1122547-2022,Tobacco Retail Dealer,Premises,Expired,02/23/2018,12/31/2023,BRONX,NY,10454,64476647,2025-03-27T18:34:09.000,2025-03-28T14:58:27.000,Illegal Parking,Overnight Commercial Storage,674 EAST  136 STREET,10454,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,5,0
1281453-DCA,"ABBAS, MAHAR",NEW KING FOOD,BA-1122578-2022,Tobacco Retail Dealer,Premises,Active,04/08/2008,12/31/2025,STATEN ISLAND,NY,10310,,,,,,,,,,,0,1
2098367-DCA,ANTIQUE ARENA INC.,,BA-1122829-2022,Secondhand Dealer - General,Premises,Ready for Renewal,04/15/2021,07/31/2025,BROOKLYN,NY,11235,64224746,2025-03-02T00:11:14.000,2025-03-02T00:34:37.000,Illegal Parking,Commercial Overnight Parking,2910 CONEY ISLAND AVENUE,11235,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,3,0
2083047-DCA,AP & SONS III CORPORATION,ROBERTO CAR WASH,BA-1122843-2022,Car Wash,Premises,Active,03/12/2019,10/31/2025,BROOKLYN,NY,11208,64557522,2025-04-04T06:52:21.000,2025-04-04T08:47:21.000,Illegal Parking,Blocked Sidewalk,1249 SUTTER AVENUE,11208,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,5,0
